id,prediction
10001,2.4366985243807484
10002,3.267560372078774
10003,2.9597554059047493
10004,3.034431058088178
10005,3.3334511715138304
10006,2.937721658723981
10007,3.359161907729583
10008,3.2130326686267074
10009,3.218615517010911
10010,2.9242706368358835
10011,3.439007214906439
10012,2.9559080929014616
10013,3.165860751674836
10014,3.0221549625338
10015,3.4915377851294536
10016,3.203954370206809
10017,3.402409772860626
10018,3.4234298860034174
10019,3.3261700892950894
10020,3.3667434432159675
10021,2.918236508871182
10022,2.442931074429088
10023,2.922541688836527
10024,3.147405670517463
10025,3.4915377851294536
10026,3.0206097099150124
10027,3.3651157905023483
10028,3.17034429257003
10029,3.317425758100293
10030,3.451236960886186
10031,3.4272422457846976
10032,3.511366069738748
10033,3.176022609120519
10034,3.329906876367704
10035,3.3952354642596894
10036,3.4606956209002253
10037,2.922541688836527
10038,3.2465069618970532
10039,2.8127237592064622
10040,3.404663497941868
10041,3.0942115801572445
10042,3.4351914909635526
10043,2.9921760930675783
10044,3.278427137477058
10045,3.090731054452364
10046,3.1981015445558945
10047,3.311181745473104
10048,3.495096089933049
10049,2.905895791504537
10050,3.2722727026829164
10051,3.3429557346809835
10052,2.4363837820416765
10053,2.5009863668671204
10054,3.267560372078774
10055,3.2347570458337844
10056,3.60577791813086
10057,2.9216437129385513
10058,2.963024318069157
10059,2.8071468528013828
10060,3.114777016210165
10061,3.267560372078774
10062,2.450922902420916
10063,3.197088031042381
10064,3.4379251185229456
10065,3.4915377851294536
10066,3.283466565441914
10067,2.8030151700511095
10068,3.076213465588467
10069,3.2685738855922875
10070,3.164533437587179
10071,3.205710186431937
10072,3.3942643429875896
10073,3.2122271819721004
10074,3.2294976520111964
10075,3.1041424240149285
10076,3.176022609120519
10077,2.9565432967367573
10078,3.4820619695851893
10079,3.3109767448282503
10080,2.456999486005239
10081,3.3479249642193833
10082,3.4379753011114915
10083,3.3172669600107674
10084,3.4719203102451193
10085,3.316268302713949
10086,2.9901554898563067
10087,2.84496855927348
10088,3.5016135216425464
10089,2.922541688836527
10090,3.103128910501415
10091,3.4546173162852716
10092,3.4820619695851893
10093,3.276261075084603
10094,3.049362505256467
10095,3.062404055518838
10096,3.4421381822117105
10097,3.4276499820153057
10098,3.451236960886186
10099,3.423955463204187
10100,3.483894831693745
10101,3.5300304029908443
10102,3.3863982280347855
10103,2.9466378781336195
10104,2.929837534837536
10105,2.4126207629423058
10106,3.267560372078774
10107,3.4612868640708836
10108,3.3643300095717996
10109,3.1657028870327264
10110,3.5466318376024244
10111,3.284920089127252
10112,2.9597554059047493
10113,2.922541688836527
10114,3.388530055319914
10115,3.001635114626938
10116,3.2435620989595106
10117,3.2348254941032404
10118,3.347112134507374
10119,3.176022609120519
10120,3.203954370206809
10121,3.36426290577606
10122,3.305950562067047
10123,3.424266349045759
10124,2.9559080929014616
10125,3.1173147190441735
10126,3.049362505256467
10127,2.9458474096596645
10128,3.5908208596555786
10129,3.2122271819721004
10130,3.406849908394027
10131,3.3743452282790534
10132,3.2122271819721004
10133,3.067499805910428
10134,3.4915377851294536
10135,3.4276499820153057
10136,3.1092920647752695
10137,3.311181745473104
10138,2.951051273812495
10139,3.3667434432159675
10140,3.267560372078774
10141,3.382194021661126
10142,3.2347570458337844
10143,3.4531600651917156
10144,3.293927881035291
10145,3.109864459229243
10146,3.4660800830471876
10147,3.248688234206036
10148,2.9929591809510048
10149,3.1173147190441735
10150,3.3208011766645154
10151,2.7836516313454647
10152,3.4703596311471694
10153,3.2122271819721004
10154,2.9898667917001482
10155,3.2265486364886518
10156,3.2802946787063942
10157,2.982583002387567
10158,3.218615517010911
10159,2.9303184679906797
10160,3.0448046626258676
10161,2.975995840825057
10162,3.187134911035838
10163,3.4915377851294536
10164,3.1993719126502818
10165,3.243410569740409
10166,3.348957258364144
10167,3.4877919826178356
10168,3.2165759612550917
10169,3.2122271819721004
10170,2.922541688836527
10171,3.040616885475632
10172,3.0950004166979035
10173,3.30327250839978
10174,3.3880744480744482
10175,3.4276499820153057
10176,2.8247697805834004
10177,3.1741009309046726
10178,2.9597554059047493
10179,3.450032092556472
10180,2.951051273812495
10181,3.2742398323628974
10182,2.209342479783656
10183,2.918236508871182
10184,3.2994499271705147
10185,3.356504562492331
10186,3.2489013258070156
10187,2.922541688836527
10188,3.176022609120519
10189,3.2122271819721004
10190,2.8079828904790216
10191,3.267560372078774
10192,3.1741009309046726
10193,2.382429421620597
10194,3.480579045553601
10195,3.2122271819721004
10196,3.2321196046896
10197,2.7836516313454647
10198,3.0914124685061197
10199,3.3846199796006298
10200,2.9229662386009116
10201,3.3761510159412635
10202,3.2960663475137153
10203,3.183841594619964
10204,3.445162780824545
10205,2.981603767429839
10206,3.269666353988334
10207,3.0429684377318638
10208,3.218615517010911
10209,3.049415687242661
10210,3.2427370498752057
10211,3.467060000968248
10212,3.5323269007508142
10213,3.227496091298671
10214,3.100276718753343
10215,3.289394246894249
10216,3.2520614903398593
10217,2.9276445760501493
10218,3.388530055319914
10219,3.3973653191551785
10220,3.499580112540976
10221,3.4162511332795034
10222,2.210243380684557
10223,3.154142109771315
10224,3.1607501305685766
10225,3.0095935435778927
10226,3.467909113828232
10227,2.9384482091350907
10228,3.441153500620605
10229,3.595284570189757
10230,3.480579045553601
10231,3.1735059660850475
10232,3.2122271819721004
10233,3.057674325789108
10234,3.3203602558014316
10235,3.172221351459306
10236,2.6002510041848272
10237,3.2473035966317374
10238,3.41971729102534
10239,2.503587781652796
10240,3.20162843757271
10241,3.480579045553601
10242,3.0171218241022384
10243,3.1576039937537086
10244,3.4435776334020547
